time,heading,imu_heading,gps_heading,gspeed,gear
1684844491.868562,52.444679715851805,142.07056260381955,53.88983000000002,1.2750000000000001,0
1684844491.8879912,52.41755843244164,142.04344132040939,53.88983000000002,1.2750000000000001,0
1684844491.9082077,52.381446714876205,142.00732960284395,53.88983000000002,1.2750000000000001,0
1684844491.9286392,50.99032,141.9982244084959,50.99032,1.416,0
1684844491.9479334,50.99032,141.97115588547936,50.99032,1.416,0
1684844491.9680357,50.99032,141.93518411090236,50.99032,1.416,0
1684844491.9886212,50.99032,141.9083502419169,50.99032,1.416,0
1684844492.0079355,50.99032,141.8637483390537,50.99032,1.416,0
1684844492.0284271,50.99032,141.82726924261658,50.99032,1.416,0
1684844492.0484943,50.99032,141.791396653655,50.99032,1.416,0
1684844492.0684018,50.99032,141.74676768169445,50.99032,1.416,0
1684844492.0885236,50.99032,141.7110684150463,50.99032,1.416,0
1684844492.1079817,50.99032,141.6743751560715,50.99032,1.416,0
1684844492.127742,230.95462822994185,141.63868338601335,50.99032,1.416,2
1684844492.148617,230.9272487302635,141.611303886335,50.99032,1.416,2
1684844492.1682189,230.8912802570532,141.57533541312472,50.99032,1.416,2
1684844492.188568,230.855601285171,141.5396564412425,50.99032,1.416,2
1684844492.2079475,230.8280763677675,141.512131523839,50.99032,1.416,2
1684844492.2282405,230.7923336078307,141.4763887639022,50.99032,1.416,2
1684844492.2476408,230.757242047829,141.44129720390052,50.99032,1.416,2
1684844492.267664,230.74134638672223,141.42540154279374,50.99032,1.416,2
1684844492.2882676,230.7061935581094,141.3902487141809,50.99032,1.416,2
1684844492.3085046,230.6797691075179,141.3638242635894,50.99032,1.416,2
1684844492.3283436,230.6638370536497,141.3478922097212,50.99032,1.416,2
1684844492.3479228,230.63779586713164,141.32185102320315,50.99032,1.416,2
1684844492.367842,230.6309061691314,141.31496132520292,50.99032,1.416,2
1684844492.3882298,230.63108565689274,141.31514081296424,50.99032,1.416,2
1684844492.4082916,230.62306560499295,141.30712076106445,50.99032,1.416,2
1684844492.428566,230.60614216903215,141.29019732510366,50.99032,1.416,2
1684844492.4485452,230.57863759477817,141.26269275084968,50.99032,1.416,2
1684844492.4691167,230.5502742142681,141.2343293703396,50.99032,1.416,2
1684844492.4885926,230.51274264205892,141.19679779813043,50.99032,1.416,2
1684844492.5081408,230.4556127385159,141.1396678945874,50.99032,1.416,2
1684844492.5286124,230.37879446014333,141.06284961621483,50.99032,1.416,2
1684844492.5482423,230.3119868276083,140.99604198367982,50.99032,1.416,2
1684844492.56851,230.23434001727946,140.91839517335097,50.99032,1.416,2
1684844492.5882914,230.15672596047833,140.84078111654983,50.99032,1.416,2
1684844492.6080136,230.09916261519533,140.78321777126683,50.99032,1.416,2
1684844492.6281087,230.04242716797543,140.72648232404694,50.99032,1.416,2
1684844492.647757,229.99486349357304,140.67891864964454,50.99032,1.416,2
1684844492.6674857,229.97022586699555,140.65428102306706,50.99032,1.416,2
1684844492.6888928,229.9336446258242,140.6176997818957,50.99032,1.416,2
1684844492.7080786,229.93109032684572,140.61514548291723,50.99032,1.416,2
1684844492.727916,229.94675204896393,140.63080720503544,50.99032,1.416,2
1684844492.7487333,229.9713562049908,140.6554113610623,50.99032,1.416,2
1684844492.7682137,230.0140848230192,140.6981399790907,50.99032,1.416,2
1684844492.7884955,230.05557694526968,140.7396321013412,50.99032,1.416,2
1684844492.8084178,230.0924259319796,140.7764810880511,50.99032,1.416,2
1684844492.8277144,230.13660719903478,140.8206623551063,50.99032,1.416,2
1684844492.8485153,230.16361034091875,140.84766549699026,50.99032,1.416,2
1684844492.8680222,230.17967289429546,140.86372805036697,50.99032,1.416,2
1684844492.8885007,230.19575325669388,140.87980841276539,50.99032,1.416,2
1684844492.9083583,230.2119298209173,140.8959849769888,50.99032,0.333,2
1684844492.928257,230.23575969172367,140.91981484779518,50.99032,0.333,2
1684844492.9479249,230.28690293787835,140.97095809394986,50.99032,0.333,2
1684844492.9681246,230.33767522470822,141.02173038077973,50.99032,0.333,2
1684844492.9879155,230.38074448556515,141.06479964163665,50.99032,0.333,2
1684844493.008551,230.44334417692983,141.12739933300134,50.99032,0.333,2
1684844493.0287144,230.48748975063774,141.17154490670924,50.99032,0.333,2
1684844493.0485985,230.52317882252666,141.20723397859817,50.99032,0.333,2
1684844493.0680628,230.5862735543053,141.27032871037682,50.99032,0.333,2
1684844493.0882106,230.64055902192442,141.32461417799593,50.99032,0.333,2
1684844493.108338,230.66793370448255,141.35198886055406,50.99032,0.333,2
1684844493.1285796,230.6956503286191,141.37970548469062,50.99032,0.333,2
1684844493.148116,230.70376753849607,141.38782269456757,50.99032,0.333,2
1684844493.1683068,230.73145535567568,141.4155105117472,50.99032,0.333,2
1684844493.188488,230.75079830208412,141.43485345815563,50.99032,0.333,2
1684844493.208027,230.7698839781092,141.4539391341807,50.99032,0.333,2
1684844493.2284546,230.78974347054418,141.4737986266157,50.99032,0.333,2
1684844493.2477753,230.8096727430671,141.4937278991386,50.99032,0.333,2
1684844493.2682576,230.82962925471466,141.51368441078617,50.99032,0.333,2
1684844493.2882495,230.84971322323656,141.53376837930807,50.99032,0.333,2
1684844493.3079233,230.87792258978706,141.56197774585857,50.99032,0.333,2
1684844493.3281085,230.9144203746204,141.5984755306919,50.99032,0.333,2
1684844493.3485944,230.92335031394043,141.60740547001194,50.99032,0.333,2
