time,gps_heading,gspeed
1684813715.0121872,46.45672000000002,1.314
1684813715.0318234,46.45672000000002,1.314
1684813715.0521154,46.45672000000002,1.314
1684813715.072142,46.45672000000002,1.314
1684813715.0916083,46.45672000000002,1.314
1684813715.1121342,46.45672000000002,1.314
1684813715.1317542,46.45672000000002,1.314
1684813715.1523824,46.45672000000002,1.314
1684813715.1728005,46.45672000000002,1.314
1684813715.1920037,46.45672000000002,1.314
1684813715.2124968,46.45672000000002,1.314
1684813715.2328162,46.45672000000002,1.314
1684813715.2523062,46.45672000000002,1.314
1684813715.2720847,46.45672000000002,1.314
1684813715.2918403,46.45672000000002,1.314
1684813715.3123033,46.45672000000002,1.314
1684813715.3328063,46.45672000000002,1.314
1684813715.352106,46.45672000000002,1.314
1684813715.3721204,46.45672000000002,1.314
1684813715.392851,46.45672000000002,1.314
1684813715.412306,46.45672000000002,1.314
1684813715.43218,46.45672000000002,1.314
1684813715.4520953,46.45672000000002,1.314
1684813715.4718068,46.45672000000002,1.314
1684813715.4921217,46.45672000000002,1.314
1684813715.5119686,46.45672000000002,1.314
1684813715.5320885,46.45672000000002,1.314
1684813715.5521536,46.45672000000002,1.314
1684813715.572197,46.45672000000002,1.314
1684813715.5923126,46.45672000000002,1.314
1684813715.6127558,46.45672000000002,1.314
1684813715.6320012,46.45672000000002,1.314
1684813715.6525316,46.45672000000002,1.314
1684813715.6727133,46.45672000000002,1.314
1684813715.6921399,46.45672000000002,1.314
1684813715.7127655,46.45672000000002,1.314
1684813715.732192,46.45672000000002,1.314
1684813715.7521467,46.45672000000002,1.314
1684813715.772286,46.45672000000002,1.314
1684813715.791903,46.45672000000002,1.314
1684813715.8119867,46.45672000000002,1.314
1684813715.832439,46.45672000000002,1.314
1684813715.8518028,46.45672000000002,1.314
1684813715.872128,46.45672000000002,1.314
1684813715.8922007,46.45672000000002,1.314
1684813715.9118989,46.45672000000002,1.314
1684813715.9324696,46.45672000000002,1.314
1684813715.9521334,46.45672000000002,0.395
1684813715.9721508,46.45672000000002,0.395
1684813715.9924426,46.45672000000002,0.395
