time,heading,gspeed
1684827092.4358022,51.003231468046124,0.005
1684827092.455368,51.003231468046124,0.005
1684827092.4758043,51.00311366193981,0.005
1684827092.4956274,51.00311366193981,0.005
1684827092.5153472,51.002995856216245,0.005
1684827092.5358942,51.002995856216245,0.005
1684827092.5553741,51.01149054007524,0.002
1684827092.5757947,51.01149054007524,0.002
1684827092.5958145,51.011608373398104,0.002
1684827092.6155937,51.011608373398104,0.002
1684827092.6360285,51.011608373398104,0.002
1684827092.6555333,51.011890576860736,0.002
1684827092.6746366,51.011726207103834,0.002
1684827092.695369,51.011726207103834,0.002
1684827092.7153482,51.011844041192376,0.002
1684827092.735584,51.01156325687151,0.002
1684827092.7558622,51.01156325687151,0.002
1684827092.7757802,51.01156325687151,0.002
1684827092.7956603,51.01156325687151,0.002
1684827092.8155286,51.011608373398104,0.002
1684827092.8355274,51.011608373398104,0.002
1684827092.8558884,51.011608373398104,0.002
1684827092.8753977,51.011726207103834,0.002
1684827092.8954017,51.011726207103834,0.002
1684827092.9158893,51.011726207103834,0.002
1684827092.935262,51.011726207103834,0.002
1684827092.9558234,51.011726207103834,0.002
1684827092.9754536,51.01156325687151,0.002
1684827092.99549,51.011726207103834,0.002
1684827093.015738,51.01156325687151,0.002
1684827093.0358768,51.01156325687151,0.002
1684827093.055431,51.01156325687151,0.002
1684827093.075835,51.01156325687151,0.002
1684827093.0955153,51.01156325687151,0.002
1684827093.1157556,51.01156325687151,0.002
1684827093.1359644,51.011726207103834,0.002
1684827093.155464,51.011726207103834,0.002
1684827093.1757815,51.011726207103834,0.002
1684827093.1954398,51.011726207103834,0.002
1684827093.2154481,51.01156325687151,0.002
1684827093.2358341,51.01156325687151,0.002
1684827093.255403,51.01156325687151,0.002
1684827093.2757635,51.0114017261979,0.002
1684827093.2959611,51.0114017261979,0.002
1684827093.3154404,51.0114017261979,0.002
1684827093.335789,51.0114017261979,0.002
1684827093.3558955,51.01156325687151,0.002
1684827093.375433,51.01156325687151,0.002
1684827093.3953054,51.01156325687151,0.002
1684827093.4153025,51.01168019171445,0.002
1684827093.4356954,51.01168019171445,0.002
1684827093.455845,51.011844041192376,0.002
1684827093.475273,51.01156325687151,0.002
1684827093.495823,51.01156325687151,0.002
1684827093.515495,51.01156325687151,0.002
1684827093.5353103,51.01156325687151,0.002
1684827093.5550475,51.0114017261979,0.002
1684827093.5751753,51.01156325687151,0.002
1684827093.5945137,51.01151776179,0.002
1684827093.6158729,51.01168019171445,0.002
1684827093.635161,51.01151776179,0.002
1684827093.655132,51.01168019171445,0.002
1684827093.675974,51.01168019171445,0.002
1684827093.6951911,51.01168019171445,0.002
1684827093.7153964,51.01168019171445,0.002
1684827093.735705,51.01168019171445,0.002
1684827093.7552865,51.01168019171445,0.002
1684827093.7759027,51.01168019171445,0.002
1684827093.7952597,51.01168019171445,0.002
1684827093.8156152,51.01168019171445,0.002
1684827093.8359132,51.01168019171445,0.002
1684827093.8554919,51.01151776179,0.002
1684827093.875378,51.01151776179,0.002
1684827093.8956556,51.01151776179,0.002
1684827093.9152343,51.01151776179,0.002
